contig	start	end	mutationrate
HG01891#1#JAGYVO010000001.1	0	1000000	1
HG01891#1#JAGYVO010000001.1	1000000	2000000	1
HG01891#1#JAGYVO010000001.1	2000000	3000000	1
HG01891#1#JAGYVO010000001.1	3000000	4000000	1
HG01891#1#JAGYVO010000001.1	4000000	5000000	1
HG01891#1#JAGYVO010000001.1	5000000	6000000	1
HG01891#1#JAGYVO010000001.1	6000000	7000000	1
HG01891#1#JAGYVO010000001.1	7000000	8000000	1
HG01891#1#JAGYVO010000001.1	8000000	9000000	1
HG01891#1#JAGYVO010000001.1	9000000	10000000	1
HG01891#1#JAGYVO010000001.1	10000000	11000000	1
HG01891#1#JAGYVO010000001.1	11000000	12000000	1
HG01891#1#JAGYVO010000001.1	12000000	13000000	1
HG01891#1#JAGYVO010000001.1	13000000	14000000	1
HG01891#1#JAGYVO010000001.1	14000000	15000000	1
HG01891#1#JAGYVO010000001.1	15000000	16000000	1
HG01891#1#JAGYVO010000001.1	16000000	17000000	1
HG01891#1#JAGYVO010000001.1	17000000	18000000	1
HG01891#1#JAGYVO010000001.1	18000000	19000000	1
HG01891#1#JAGYVO010000001.1	19000000	20000000	1
HG01891#1#JAGYVO010000001.1	20000000	21000000	1
HG01891#1#JAGYVO010000001.1	21000000	22000000	1
HG01891#1#JAGYVO010000001.1	22000000	23000000	1
HG01891#1#JAGYVO010000001.1	23000000	24000000	1
HG01891#1#JAGYVO010000001.1	24000000	25000000	1
HG01891#1#JAGYVO010000001.1	25000000	26000000	1
HG01891#1#JAGYVO010000001.1	26000000	27000000	1
HG01891#1#JAGYVO010000001.1	27000000	28000000	1
HG01891#1#JAGYVO010000001.1	28000000	29000000	1
HG01891#1#JAGYVO010000001.1	29000000	30000000	1
HG01891#1#JAGYVO010000001.1	30000000	31000000	1
HG01891#1#JAGYVO010000001.1	31000000	32000000	1
HG01891#1#JAGYVO010000001.1	32000000	33000000	1
HG01891#1#JAGYVO010000001.1	33000000	34000000	1
HG01891#1#JAGYVO010000001.1	34000000	35000000	1
HG01891#1#JAGYVO010000001.1	35000000	36000000	1
HG01891#1#JAGYVO010000001.1	36000000	37000000	1
HG01891#1#JAGYVO010000001.1	37000000	38000000	1
HG01891#1#JAGYVO010000001.1	38000000	39000000	1
HG01891#1#JAGYVO010000001.1	39000000	40000000	1
HG01891#1#JAGYVO010000001.1	40000000	41000000	1
HG01891#1#JAGYVO010000001.1	41000000	42000000	1
HG01891#1#JAGYVO010000001.1	42000000	43000000	1
HG01891#1#JAGYVO010000001.1	43000000	44000000	1
HG01891#1#JAGYVO010000001.1	44000000	45000000	1
HG01891#1#JAGYVO010000001.1	45000000	46000000	1
HG01891#1#JAGYVO010000001.1	46000000	47000000	1
HG01891#1#JAGYVO010000001.1	47000000	48000000	1
HG01891#1#JAGYVO010000001.1	48000000	49000000	1
HG01891#1#JAGYVO010000001.1	49000000	50000000	1
