start	end	num_kmers	mutationrate	Human	Archaic	posterior_state	viterbi_state
0	2000	0	0.5254	0.9999	0.0001	Human	Human
2000	4000	0	0.5254	0.9999	0.0001	Human	Human
4000	6000	0	0.5254	0.9969	0.0031	Human	Human
6000	8000	4	0.5254	0.0	1.0	Archaic	Archaic
8000	10000	0	0.5254	0.9969	0.0031	Human	Human
10000	12000	0	0.5254	0.9999	0.0001	Human	Human
12000	14000	0	0.5254	0.9999	0.0001	Human	Human
14000	16000	0	0.5254	0.9999	0.0001	Human	Human
16000	18000	0	0.5254	0.9999	0.0001	Human	Human
18000	20000	0	0.5254	0.9999	0.0001	Human	Human
20000	22000	0	0.5254	0.9999	0.0001	Human	Human
22000	24000	0	0.5254	0.9999	0.0001	Human	Human
24000	26000	0	0.5254	0.9999	0.0001	Human	Human
26000	28000	0	0.5254	0.9999	0.0001	Human	Human
28000	30000	0	0.5254	0.9999	0.0001	Human	Human
30000	32000	0	0.5254	0.9999	0.0001	Human	Human
32000	34000	0	0.5254	0.9999	0.0001	Human	Human
34000	36000	0	0.5254	0.9999	0.0001	Human	Human
36000	38000	0	0.5254	0.9999	0.0001	Human	Human
38000	40000	0	0.5254	0.9999	0.0001	Human	Human
40000	42000	0	0.5254	0.9999	0.0001	Human	Human
42000	44000	0	0.5254	0.9999	0.0001	Human	Human
44000	46000	0	0.5254	0.9999	0.0001	Human	Human
46000	48000	0	0.5254	0.9999	0.0001	Human	Human
48000	50000	0	0.5254	0.9969	0.0031	Human	Human
50000	52000	27	0.5254	0.0	1.0	Archaic	Archaic
52000	54000	0	0.5254	0.9969	0.0031	Human	Human
54000	56000	0	0.5254	0.9999	0.0001	Human	Human
56000	58000	0	0.5254	0.9999	0.0001	Human	Human
58000	60000	0	0.5254	0.9999	0.0001	Human	Human
60000	62000	0	0.5254	0.9999	0.0001	Human	Human
62000	64000	0	0.5254	0.9999	0.0001	Human	Human
64000	66000	0	0.5254	0.9999	0.0001	Human	Human
66000	68000	0	0.5254	0.9999	0.0001	Human	Human
68000	70000	0	0.5254	0.9999	0.0001	Human	Human
70000	72000	0	0.5254	0.9999	0.0001	Human	Human
72000	74000	0	0.5254	0.9999	0.0001	Human	Human
74000	76000	0	0.5254	0.9999	0.0001	Human	Human
76000	78000	0	0.5254	0.9999	0.0001	Human	Human
78000	80000	0	0.5254	0.9999	0.0001	Human	Human
80000	82000	0	0.5254	0.9999	0.0001	Human	Human
82000	84000	0	0.5254	0.9999	0.0001	Human	Human
84000	86000	0	0.5254	0.9999	0.0001	Human	Human
86000	88000	0	0.5254	0.9999	0.0001	Human	Human
88000	90000	0	0.5254	0.9999	0.0001	Human	Human
90000	92000	0	0.5254	0.9999	0.0001	Human	Human
92000	94000	0	0.5254	0.9969	0.0031	Human	Human
94000	96000	18	0.5254	0.0	1.0	Archaic	Archaic
96000	98000	0	0.5254	0.9969	0.0031	Human	Human
98000	100000	0	0.5254	0.9999	0.0001	Human	Human
100000	102000	0	0.5254	0.9999	0.0001	Human	Human
102000	104000	0	0.5254	0.9999	0.0001	Human	Human
104000	106000	0	0.5254	0.9999	0.0001	Human	Human
106000	108000	0	0.5254	0.9999	0.0001	Human	Human
108000	110000	0	0.5254	0.9999	0.0001	Human	Human
110000	112000	0	0.5254	0.9999	0.0001	Human	Human
112000	114000	0	0.5254	0.9999	0.0001	Human	Human
114000	116000	0	0.5254	0.9999	0.0001	Human	Human
116000	118000	0	0.5254	0.9999	0.0001	Human	Human
118000	120000	0	0.5254	0.9999	0.0001	Human	Human
120000	122000	0	0.5254	0.9999	0.0001	Human	Human
122000	124000	0	0.5254	0.9999	0.0001	Human	Human
124000	126000	0	0.5254	0.9999	0.0001	Human	Human
126000	128000	0	0.5254	0.9999	0.0001	Human	Human
128000	130000	0	0.5254	0.9999	0.0001	Human	Human
130000	132000	0	0.5254	0.9999	0.0001	Human	Human
132000	134000	0	0.5254	0.9999	0.0001	Human	Human
134000	136000	0	0.5254	0.9999	0.0001	Human	Human
136000	138000	0	0.5254	0.9999	0.0001	Human	Human
138000	140000	0	0.5254	0.9999	0.0001	Human	Human
140000	142000	0	0.5254	0.9999	0.0001	Human	Human
142000	144000	0	0.5254	0.9999	0.0001	Human	Human
144000	146000	0	0.5254	0.9999	0.0001	Human	Human
146000	148000	0	0.5254	0.9999	0.0001	Human	Human
148000	150000	0	0.5254	0.9999	0.0001	Human	Human
150000	152000	0	0.5254	0.9999	0.0001	Human	Human
152000	154000	0	0.5254	0.9999	0.0001	Human	Human
154000	156000	0	0.5254	0.9999	0.0001	Human	Human
156000	158000	0	0.5254	0.9999	0.0001	Human	Human
158000	160000	0	0.5254	0.9999	0.0001	Human	Human
160000	162000	0	0.5254	0.9999	0.0001	Human	Human
162000	164000	0	0.5254	0.9999	0.0001	Human	Human
164000	166000	0	0.5254	0.9999	0.0001	Human	Human
166000	168000	0	0.5254	0.9999	0.0001	Human	Human
168000	170000	0	0.5254	0.9999	0.0001	Human	Human
170000	172000	0	0.5254	0.9999	0.0001	Human	Human
172000	174000	0	0.5254	0.9999	0.0001	Human	Human
174000	176000	0	0.5254	0.9999	0.0001	Human	Human
176000	178000	0	0.5254	0.9999	0.0001	Human	Human
178000	180000	0	0.5254	0.9999	0.0001	Human	Human
180000	182000	0	0.5254	0.9999	0.0001	Human	Human
182000	184000	0	0.5254	0.9999	0.0001	Human	Human
184000	186000	0	0.5254	0.9999	0.0001	Human	Human
186000	188000	0	0.5254	0.9999	0.0001	Human	Human
188000	190000	0	0.5254	0.9999	0.0001	Human	Human
190000	192000	0	0.5254	0.9999	0.0001	Human	Human
